dataset,alpha,N_sequence,epsilon_sequence,N_eps_pow_d_increasing,N_eps_pow_d_plus_2_increasing,relative_changes,converged,final_relative_change
uniform_alpha0.0,0.0,"[4000, 8000, 16000, 32000, 64000]","[14.2988, 12.9508, 11.7298, 10.624, 9.6224]",True,True,"[0.22062116118650224, 0.14169798657125657, 0.08938668224787895, 0.05486428149131263]",True,0.05486428149131263
clustered_alpha0.0,0.0,[],[],True,True,[],False,
desi_alpha0.0,0.0,"[4000, 8000, 16000, 32000, 64000]","[45.2016, 40.9402, 37.0805, 33.5847, 30.4184]",True,True,"[1.346747844860744, 1.460437118176044, 0.5006137834534365, 0.1269579141900582]",True,0.1269579141900582
uniform_alpha1.0,1.0,"[4000, 8000, 16000, 32000, 64000]","[14.2988, 12.9508, 11.7298, 10.624, 9.6224]",True,True,"[0.5830765234470595, 0.5602161199447228, 0.5492603682600233, 0.5554367866040169]",False,0.5554367866040169
clustered_alpha1.0,1.0,[],[],True,True,[],False,
desi_alpha1.0,1.0,"[4000, 8000, 16000, 32000, 64000]","[45.2016, 40.9402, 37.0805, 33.5847, 30.4184]",True,True,"[0.5969173091248131, 0.6064536732024448, 0.5941742955560452, 0.5967686768005318]",False,0.5967686768005318
