dataset,exponent,N,epsilon,k_or_bandwidth_mult_or_alpha,connected,spectral_residual,operator_residual,fit_stability,boundary_fraction,density_variation_or_sparsity,status
desi_interior_only_60pct,5.0,2500,44.4300,1.0,True,,,0.6055365899436023,0.6,,OK
desi_interior_only_60pct,5.0,4000,36.7000,1.0,True,,,0.31226636519217826,0.6,,OK
redshift_slice_full_pilot_0.4_0.6,5.0,800,,1.0,True,,,,,2.0805211133382863e-05,OK
redshift_slice_full_pilot_0.4_0.6,5.0,1500,,1.0,True,,,0.3596172051367086,,2.0805211133382863e-05,OK
redshift_slice_full_pilot_0.4_0.6,5.0,2500,,1.0,True,,,0.5618430401954762,,2.0805211133382863e-05,OK
redshift_slice_full_pilot_0.4_0.6,5.0,4000,,1.0,True,,,0.3772569212305514,,2.0805211133382863e-05,OK
redshift_slice_narrow_0.45_0.55,5.0,800,,1.0,True,,,,,2.0340189015726175e-05,OK
redshift_slice_narrow_0.45_0.55,5.0,1500,,1.0,True,,,0.30368494216922065,,2.0340189015726175e-05,OK
redshift_slice_narrow_0.45_0.55,5.0,2500,,1.0,True,,,0.4750659405442052,,2.0340189015726175e-05,OK
redshift_slice_narrow_0.45_0.55,5.0,4000,,1.0,True,,,0.5892006995243233,,2.0340189015726175e-05,OK
redshift_slice_narrow_0.40_0.50,5.0,800,,1.0,True,,,,,2.07835294077385e-05,OK
redshift_slice_narrow_0.40_0.50,5.0,1500,,1.0,True,,,0.9818250382058696,,2.07835294077385e-05,OK
redshift_slice_narrow_0.40_0.50,5.0,2500,,1.0,True,,,0.6050317099764266,,2.07835294077385e-05,OK
redshift_slice_narrow_0.40_0.50,5.0,4000,,1.0,True,,,0.5584439023584803,,2.07835294077385e-05,OK
knn_sweep_desi,5.0,2000,111.9831,8,True,4.679514691626215e-30,,,,0.6697744417732143,OK
knn_sweep_desi,5.0,2000,144.1602,16,True,2.6443981101408942e-30,,,,0.5317467712627572,OK
knn_sweep_desi,5.0,2000,185.7224,32,True,1.8263593662624158e-30,,,,0.46878780074246656,OK
knn_sweep_desi,5.0,2000,241.0410,64,True,6.160086927122574e-31,,,,0.43411410167680686,OK
knn_sweep_desi,5.0,2000,313.2721,128,True,3.6101556807538736e-31,,,,0.42683309568891536,OK
operator_action_linear_(Delta=0_exact),5.0,3000,,1.0,True,,232457.80807451397,,,,OK
operator_action_quadratic_(Delta=6_exact),5.0,3000,,1.0,True,,1.0000000000000402,,,,OK
operator_action_desi_no_reference,5.0,3000,,1.0,True,,1.363162089821437e-10,,,,OK
